classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
1715,105,176,1700,143,194,1434,67,166,8
1745,222,204,1745,1856,203,1634,1613,206,3
1789,77,139,1758,176,206,1610,148,207,32
2303,309,209,2178,1312,133,2250,3905,54,8
1238,18,227,1238,160,226,1113,44,234,19
2124,18,186,2263,331,162,2393,848,126,4
1515,172,75,1449,216,165,1111,215,54,28
1761,87,180,1630,39,153,1363,37,183,39
1861,200,126,1763,759,93,1727,1366,48,24
1623,83,194,1772,806,122,1663,3706,68,5
1626,18,224,1626,18,227,1336,149,214,3
1623,10,207,1709,1780,108,1618,4117,45,2
1754,87,178,1653,617,124,1551,1373,66,8
1985,65,145,2136,4900,58,1983,7368,77,3
2245,271,131,2209,370,105,2366,6644,45,134
1806,13,195,1748,1810,173,1771,1701,56,14
1740,69,129,1722,167,108,1803,980,53,8
1791,80,208,1791,40,212,1386,41,226,24
1649,33,176,1726,1326,113,1545,3731,79,14
2020,5,257,2053,57,162,2005,3018,122,5
2194,91,102,2049,261,153,2159,3462,89,32
2153,155,87,2305,556,117,2227,14449,45,34
1902,786,87,1799,1583,143,1808,2662,45,75
1565,41,222,1565,559,210,1594,2885,67,13
2074,152,158,2001,879,154,1944,5093,122,17
1806,188,188,1792,2525,186,1857,1619,183,8
1836,35,144,2012,1908,91,1722,2036,46,8
1390,7,270,1390,26,238,1570,1,368,6
1752,226,128,1764,1910,98,1538,1052,99,7
1650,23,219,1639,48,167,1471,262,117,16
1825,89,173,1891,375,80,1686,474,63,24
1580,9,251,1521,288,132,1585,1831,118,1
2106,245,141,2403,2831,53,2333,3090,45,46
1673,29,207,1804,432,90,1445,331,193,9
2206,45,113,2098,170,163,1966,4646,71,32
1802,108,132,2000,1330,77,2025,5916,45,76
1815,42,191,1825,224,225,1447,321,178,14
1807,75,179,1888,154,123,1729,2452,116,15
2410,42,218,2410,370,200,2398,4709,143,8
1680,801,156,1631,503,164,1446,29,243,19
1889,63,175,1641,868,158,1630,3372,142,1
1767,44,163,1649,84,151,1611,698,113,9
2021,84,111,1846,59,188,1957,4363,77,49
1492,8,267,1492,183,233,1391,134,233,3
1796,427,119,1784,742,94,1552,4,250,47
1613,9,267,1650,374,184,1688,4470,45,3
1841,14,232,1823,248,117,1826,9176,45,9
2160,24,226,2177,56,176,1954,1888,169,24
1897,7,225,1942,139,143,2059,5049,81,1
1856,42,141,1926,318,80,2062,1778,45,1
2005,34,129,2139,168,164,2058,7001,86,8
2214,88,192,2212,76,160,2054,510,60,44
1960,67,218,1888,1040,192,2188,8092,45,15
